Game ID,Turn,Player,Position
1,1,Alice,1
1,2,Bot,8
1,3,Alice,2
1,4,Bot,3
1,5,Alice,5
1,6,Bot,4
1,7,Alice,9
2,1,Bob,1
2,2,Bot,3
2,3,Bob,4
2,4,Bot,8
2,5,Bob,7
3,1,Cathy,1
3,2,Bot,5
3,3,Cathy,2
3,4,Bot,9
3,5,Cathy,3
4,1,Alice,1
4,2,Bot,8
4,3,Alice,2
4,4,Bot,4
4,5,Alice,3
5,1,Alice,1
5,2,Bob,4
5,3,Alice,2
5,4,Bob,7
5,5,Alice,3
6,1,Cathy,1
6,2, DuDu,2
6,3,Cathy,4
6,4, DuDu,3
6,5,Cathy,7
7,1,P,1
7,2,Bot,6
7,3,P,2
7,4,Bot,3
7,5,P,4
7,6,Bot,8
7,7,P,7
8,1,Ali,4
8,2,Bot,3
8,3,Ali,5
8,4,Bot,2
8,5,Ali,6
9,1,U,1
9,2,Bot,8
9,3,U,2
9,4,Bot,5
9,5,U,3
10,1,I,1
10,2,Bot,2
10,3,I,4
10,4,Bot,6
10,5,I,7
11,1,Y,1
11,2,Bot,3
11,3,Y,4
11,4,Bot,2
11,5,Y,7
12,1,RR,1
12,2,Bot,5
12,3,RR,4
12,4,Bot,9
12,5,RR,7
13,1,RRR,1
13,2,Bot,8
13,3,RRR,2
13,4,Bot,4
13,5,RRR,3
14,1,WW,1
14,2,Bot,3
14,3,WW,4
14,4,Bot,8
14,5,WW,7
15,1,Yo,1
15,2,Bot,7
15,3,Yo,2
15,4,Bot,4
15,5,Yo,3
16,1,A,1
16,2,Bot,2
16,3,A,4
16,4,Bot,9
16,5,A,7
17,1,A,1
17,2,B,9
17,3,A,2
17,4,B,8
17,5,A,3
